week	Div	date	home	away	scored	conceded	FTR	HTHG	HTAG	HTR	Referee	HS	AS	HST	AST	HF	AF	HC	AC	HY	AY	HR	AR	B365H	B365D	B365A	BWH	BWD	BWA	IWH	IWD	IWA	LBH	LBD	LBA	PSH	PSD	PSA	WHH	WHD	WHA	VCH	VCD	VCA	Bb1X2	BbMxH	BbAvH	BbMxD	BbAvD	BbMxA	BbAvA	BbOU	BbMx>2.5	BbAv>2.5	BbMx<2.5	BbAv<2.5	BbAH	BbAHh	BbMxAHH	BbAvAHH	BbMxAHA	BbAvAHA	PSCH	PSCD	PSCA
24	E0	2/2/16	Arsenal	Southampton	0	0	D	0	0	D	L Mason	21	14	11	3	11	19	13	3	2	1	0	0	1.75	3.75	5.25	1.8	3.5	4.75	1.75	3.5	4.5	1.73	3.5	5	1.76	3.72	5.39	1.8	3.2	5	1.75	3.75	5.2	49	1.83	1.76	3.75	3.58	5.62	5	42	2.14	2.07	1.81	1.74	32	-1	2.48	2.39	1.63	1.6	1.83	3.65	4.97
25	E0	6/2/16	Southampton	West Ham	1	0	H	1	0	H	M Clattenburg	8	18	2	2	17	10	4	5	1	2	1	0	1.73	3.8	5.5	1.72	3.5	5	1.7	3.6	4.7	1.67	3.6	5.25	1.77	3.74	5.33	1.75	3.5	5	1.75	3.7	5.5	41	1.8	1.73	3.8	3.64	5.5	5.14	37	2.21	2.12	1.8	1.71	27	-0.75	2	1.93	1.97	1.93	1.71	3.98	5.42
26	E0	13/02/16	Swansea	Southampton	0	-1	A	0	0	D	J Moss	13	13	2	5	10	12	5	4	0	3	0	0	3.2	3.25	2.5	2.9	3.2	2.4	2.6	3.2	2.6	3.1	3.1	2.3	3.24	3.26	2.47	3	3.1	2.5	3.25	3.2	2.45	45	3.25	3.11	3.33	3.18	2.6	2.43	35	2.5	2.4	1.6	1.55	28	0.25	1.86	1.82	2.1	2.04	3.2	3.25	2.51
27	E0	27/02/16	Southampton	Chelsea	1	-2	A	1	0	H	M Atkinson	7	16	2	4	10	11	7	8	3	1	0	0	2.8	3.25	2.5	2.9	3.2	2.55	2.85	3.2	2.5	2.8	3.1	2.5	2.9	3.37	2.65	2.75	3.2	2.62	2.9	3.3	2.63	48	2.96	2.83	3.37	3.22	2.65	2.58	40	2.25	2.16	1.74	1.68	30	0.25	1.75	1.71	2.27	2.2	3.23	3.3	2.45
28	E0	1/3/16	Bournemouth	Southampton	2	0	H	1	0	H	M Dean	9	6	4	1	11	18	10	2	0	0	0	0	2.9	3.25	2.7	2.75	3.3	2.6	2.75	3.2	2.5	2.9	3.2	2.62	2.91	3.3	2.68	2.88	3.1	2.62	2.9	3.2	2.7	47	2.97	2.87	3.3	3.17	2.71	2.63	38	2.4	2.29	1.68	1.62	29	0	2.07	2.01	1.92	1.85	2.86	3.26	2.74
29	E0	5/3/16	Southampton	Sunderland	1	-1	D	0	0	D	N Swarbrick	16	11	5	3	9	9	12	2	2	1	1	0	1.6	4	6.5	1.5	3.9	6.75	1.6	3.7	5.4	1.57	3.8	6	1.63	4.04	6.29	1.62	3.6	6	1.6	4.1	6.5	47	1.65	1.59	4.1	3.88	6.75	6.19	39	2.05	1.97	1.89	1.83	32	-1	2.12	2.05	1.86	1.82	1.62	4.2	6.07
30	E0	12/3/16	Stoke	Southampton	1	-2	A	0	2	A	L Mason	13	11	2	4	13	12	1	4	1	2	0	1	2.7	3.2	2.9	2.7	3.2	2.6	2.65	3.1	2.65	2.7	3.1	2.75	2.73	3.22	2.91	2.7	3.1	2.7	2.75	3.2	2.88	45	2.75	2.68	3.22	3.14	2.93	2.8	37	2.5	2.37	1.65	1.57	27	0	1.93	1.89	2.02	1.97	2.72	3.25	2.9
31	E0	20/03/16	Southampton	Liverpool	3	-2	H	0	2	A	R East	16	18	5	9	10	13	3	5	1	3	0	0	2.63	3.4	2.88	2.4	3.3	2.85	2.6	3.2	2.6	2.5	3.1	2.8	2.71	3.29	2.88	2.75	3	2.75	2.7	3.25	2.9	45	2.75	2.61	3.4	3.21	2.9	2.81	38	2.35	2.22	1.7	1.65	27	0.25	1.64	1.6	2.47	2.4	2.94	3.3	2.65
32	E0	3/4/16	Leicester	Southampton	1	0	H	1	0	H	M Oliver	11	10	4	2	12	13	7	8	2	2	0	0	2.25	3.4	3.5	2.15	3.3	3.3	2.2	3.3	3.1	2.25	3.25	3.5	2.27	3.35	3.56	2.3	3.2	3.2	2.3	3.3	3.5	47	2.3	2.21	3.4	3.29	3.6	3.42	39	2.35	2.24	1.7	1.64	30	-0.25	1.94	1.89	2.02	1.97	2.39	3.32	3.32
33	E0	9/4/16	Southampton	Newcastle	3	-1	H	2	0	H	R Madley	20	5	6	3	8	7	11	2	0	0	0	0	1.53	4	6	1.55	3.9	6	1.6	3.9	5	1.53	4	6.5	1.58	4.23	6.56	1.57	3.75	6.5	1.57	4.1	7	47	1.6	1.56	4.23	4	7	6.14	39	2.01	1.95	1.92	1.84	31	-1	2.04	1.99	1.91	1.87	1.63	4.24	5.88
34	E0	16/04/16	Everton	Southampton	1	-1	D	0	0	D	C Pawson	7	18	2	4	8	14	3	10	1	1	0	0	2.7	3.4	2.8	2.5	3.25	2.75	2.5	3.3	2.65	2.6	3.3	2.88	2.66	3.39	2.85	2.7	3.1	2.7	2.75	3.3	2.8	49	2.75	2.59	3.41	3.29	2.95	2.79	41	2.04	1.98	1.9	1.82	29	-0.25	2.29	2.19	1.73	1.7	3	3.52	2.48
35	E0	23/04/16	Aston Villa	Southampton	2	-4	A	1	2	A	N Swarbrick	16	17	7	7	8	9	6	11	2	0	0	0	7.5	4.2	1.53	6	4	1.53	6.1	4	1.5	6.5	4	1.57	6.61	4.2	1.58	7	3.6	1.57	7.5	4.1	1.55	47	7.5	6.65	4.26	3.99	1.6	1.54	38	2.11	2.03	1.83	1.77	30	1	1.96	1.92	2.02	1.94	6.95	4.35	1.55
36	E0	1/5/16	Southampton	Man City	4	-2	H	2	1	H	A Marriner	14	6	7	5	12	9	8	2	2	1	0	0	2.8	3.4	2.7	2.7	3.4	2.6	2.65	3.3	2.5	2.62	3.3	2.62	2.73	3.44	2.75	2.75	3.1	2.7	2.7	3.5	2.7	46	2.8	2.68	3.5	3.34	2.75	2.65	39	1.93	1.87	2	1.93	27	0	1.96	1.92	1.98	1.93	2.42	3.56	3.06
37	E0	8/5/16	Tottenham	Southampton	1	-2	A	1	1	D	J Moss	20	10	6	2	8	16	10	2	0	3	0	0	2.05	3.6	3.9	1.91	3.6	3.7	1.9	3.45	3.8	2	3.6	4	2.03	3.71	3.88	1.91	3.4	4	2	3.7	3.9	48	2.05	1.98	3.75	3.58	4	3.78	38	1.83	1.77	2.12	2.04	29	-0.5	2.03	1.99	1.92	1.87	2.25	3.44	3.49
38	E0	15/05/16	Southampton	Crystal Palace	4	-1	H	1	0	H	M Oliver	18	16	5	4	7	14	2	5	1	2	0	0	1.36	5.5	9	1.33	4.75	9.25	1.4	4.4	7.3	1.33	5.5	9.5	1.34	5.69	9.9	1.36	4.8	8	1.33	5.5	10	50	1.4	1.33	5.69	5.29	10	9.03	39	1.67	1.62	2.42	2.26	31	-1.5	2	1.93	1.98	1.92	1.29	6.8	10
