week	Div	date	home	away	scored	conceded	FTR	HTHG	HTAG	HTR	Referee	HS	AS	HST	AST	HF	AF	HC	AC	HY	AY	HR	AR	B365H	B365D	B365A	BWH	BWD	BWA	IWH	IWD	IWA	LBH	LBD	LBA	PSH	PSD	PSA	WHH	WHD	WHA	VCH	VCD	VCA	Bb1X2	BbMxH	BbAvH	BbMxD	BbAvD	BbMxA	BbAvA	BbOU	BbMx>2.5	BbAv>2.5	BbMx<2.5	BbAv<2.5	BbAH	BbAHh	BbMxAHH	BbAvAHH	BbMxAHA	BbAvAHA	PSCH	PSCD	PSCA
24	E0	2/2/16	Leicester	Liverpool	2	0	H	0	0	D	A Marriner	13	14	6	2	6	7	3	12	0	1	0	0	2.63	3.4	2.88	2.6	3.2	2.8	2.6	3.2	2.6	2.5	3.3	2.7	2.62	3.44	2.88	2.62	3.1	2.8	2.63	3.3	2.9	48	2.65	2.58	3.51	3.28	2.9	2.81	43	2.15	2.06	1.83	1.76	30	0	1.9	1.85	2.06	2	2.92	3.31	2.67
25	E0	6/2/16	Man City	Leicester	1	-3	A	0	1	A	A Taylor	22	14	4	7	9	15	11	4	2	2	0	0	1.62	4.2	6	1.62	4	5.5	1.6	4	5	1.57	4	5.75	1.61	4.26	6.14	1.62	3.6	6	1.62	4.2	6	45	1.63	1.6	4.3	4.06	6.28	5.75	36	1.76	1.7	2.25	2.12	29	-1	2.03	1.99	1.91	1.86	1.6	4.29	6.21
26	E0	14/02/16	Arsenal	Leicester	2	-1	H	0	1	A	M Atkinson	24	7	6	3	9	10	11	1	4	3	0	1	1.75	4	5	1.75	4	4.33	1.8	3.5	4.2	1.7	3.8	4.5	1.71	4.16	5.08	1.75	3.8	4.5	1.75	4.1	4.75	45	1.8	1.72	4.2	3.95	5.11	4.71	38	1.81	1.76	2.16	2.05	29	-1	2.28	2.21	1.75	1.7	1.68	4.23	5.32
27	E0	27/02/16	Leicester	Norwich	1	0	H	0	0	D	N Swarbrick	13	9	3	1	9	11	3	4	0	2	0	0	1.5	4.33	6	1.5	4.2	6	1.5	4	6.1	1.5	4.2	6	1.57	4.42	6.32	1.5	4.2	6.5	1.55	4.4	6.5	48	1.59	1.54	4.5	4.24	6.5	6.11	40	1.81	1.74	2.2	2.08	33	-1	2	1.92	1.97	1.93	1.57	4.19	6.95
28	E0	1/3/16	Leicester	West Brom	2	-2	D	2	1	H	M Clattenburg	22	11	5	3	10	8	11	3	0	2	0	0	1.73	3.8	5.5	1.7	3.75	5.25	1.7	3.6	4.7	1.67	3.75	6	1.73	3.84	5.5	1.7	3.5	5.5	1.7	3.75	6	47	1.77	1.7	3.85	3.67	6	5.44	39	2.21	2.13	1.77	1.71	31	-1	2.38	2.3	1.7	1.65	1.68	3.95	5.87
29	E0	5/3/16	Watford	Leicester	0	-1	A	0	0	D	J Moss	11	14	4	7	10	11	3	8	2	2	0	0	3	3.4	2.55	2.7	3.4	2.45	3	3.2	2.3	2.9	3.2	2.4	3.01	3.33	2.58	2.8	3.1	2.62	3	3.3	2.55	46	3.01	2.94	3.4	3.25	2.62	2.5	37	2.24	2.11	1.8	1.71	29	0.25	1.8	1.75	2.21	2.14	2.99	3.39	2.56
30	E0	14/03/16	Leicester	Newcastle	1	0	H	1	0	H	C Pawson	10	13	1	2	4	9	8	4	0	0	0	0	1.57	4.33	6.25	1.53	4	6	1.65	3.6	5.1	1.55	4	6	1.62	4.29	5.92	1.62	3.6	6	1.62	4.2	6	43	1.67	1.59	4.33	4.08	6.5	5.76	36	1.81	1.74	2.2	2.07	29	-1	2.08	2	1.91	1.86	1.58	4.36	6.35
31	E0	19/03/16	Crystal Palace	Leicester	0	-1	A	0	1	A	M Jones	12	8	4	3	9	13	10	7	1	1	0	0	3	3.4	2.5	2.95	3.2	2.4	3	3.2	2.3	2.9	3.25	2.4	2.96	3.35	2.6	3	3.1	2.5	3	3.3	2.55	47	3.1	2.93	3.5	3.26	2.6	2.48	39	2.2	2.14	1.76	1.7	30	0.25	1.81	1.76	2.22	2.13	2.89	3.35	2.66
32	E0	3/4/16	Leicester	Southampton	1	0	H	1	0	H	M Oliver	11	10	4	2	12	13	7	8	2	2	0	0	2.25	3.4	3.5	2.15	3.3	3.3	2.2	3.3	3.1	2.25	3.25	3.5	2.27	3.35	3.56	2.3	3.2	3.2	2.3	3.3	3.5	47	2.3	2.21	3.4	3.29	3.6	3.42	39	2.35	2.24	1.7	1.64	30	-0.25	1.94	1.89	2.02	1.97	2.39	3.32	3.32
33	E0	10/4/16	Sunderland	Leicester	0	-2	A	0	0	D	A Taylor	15	17	1	7	9	9	1	7	1	1	0	0	3.4	3.4	2.1	3.3	3.4	2.1	3.3	3.3	2.1	3.4	3.3	2.15	3.51	3.5	2.23	3.5	3.25	2.15	3.6	3.4	2.2	46	3.6	3.41	3.5	3.37	2.25	2.17	38	2.18	2.11	1.82	1.72	29	0.25	2.04	1.99	1.92	1.87	3.3	3.33	2.4
34	E0	17/04/16	Leicester	West Ham	2	-2	D	1	0	H	J Moss	6	19	2	4	14	14	0	5	1	3	1	0	1.95	3.6	4.2	1.95	3.4	3.75	2	3.3	3.6	1.95	3.5	4.2	1.92	3.75	4.3	1.91	3.3	4.2	1.91	3.7	4.3	49	2	1.91	3.8	3.57	4.3	4.08	41	2	1.91	1.95	1.89	30	-0.5	1.95	1.9	2.02	1.96	1.95	3.71	4.19
35	E0	24/04/16	Leicester	Swansea	4	0	H	2	0	H	M Clattenburg	18	9	9	1	15	10	4	6	1	2	0	0	1.75	3.7	5.5	1.7	3.5	5	1.7	3.6	4.7	1.75	3.6	5.5	1.74	3.79	5.54	1.75	3.5	5	1.75	3.7	5.5	46	1.8	1.73	3.8	3.6	5.75	5.17	38	2.25	2.16	1.74	1.68	29	-0.75	2.01	1.95	1.97	1.9	1.71	3.87	5.64
36	E0	1/5/16	Man United	Leicester	1	-1	D	1	1	D	M Oliver	21	14	6	3	16	10	6	5	3	0	0	1	2.1	3.4	3.9	2.1	3.4	3.6	1.9	3.45	3.8	2	3.3	3.8	2.07	3.45	4.04	2.15	3.1	3.6	2.1	3.3	4.1	46	2.15	2.05	3.46	3.34	4.1	3.8	37	2.3	2.18	1.73	1.68	28	-0.5	2.07	2.02	1.88	1.84	2	3.49	4.28
37	E0	7/5/16	Leicester	Everton	3	-1	H	2	0	H	A Marriner	32	9	8	5	4	12	12	4	0	3	0	0	1.91	4	4	1.83	3.5	4.25	1.9	3.45	3.8	1.9	3.75	4.2	1.91	3.98	4.07	1.91	3.2	4.33	1.87	3.9	4.2	48	1.93	1.87	4	3.74	4.33	4.06	35	1.67	1.62	2.35	2.26	29	-0.5	1.91	1.86	2.05	2	1.83	4.21	4.21
38	E0	15/05/16	Chelsea	Leicester	1	-1	D	0	0	D	C Pawson	17	18	4	5	4	12	7	6	0	0	0	0	2.3	3.75	3.1	2.25	3.6	2.9	2.1	3.3	3.3	2.3	3.75	3	2.33	3.76	3.07	2.3	3.3	3.1	2.3	3.75	3.1	50	2.35	2.28	3.8	3.58	3.3	3.02	40	1.68	1.63	2.36	2.25	30	-0.25	2.03	1.99	1.92	1.87	2.01	3.99	3.68
