week	Div	date	home	away	scored	conceded	FTR	HTHG	HTAG	HTR	Referee	HS	AS	HST	AST	HF	AF	HC	AC	HY	AY	HR	AR	B365H	B365D	B365A	BWH	BWD	BWA	IWH	IWD	IWA	LBH	LBD	LBA	PSH	PSD	PSA	WHH	WHD	WHA	VCH	VCD	VCA	Bb1X2	BbMxH	BbAvH	BbMxD	BbAvD	BbMxA	BbAvA	BbOU	BbMx>2.5	BbAv>2.5	BbMx<2.5	BbAv<2.5	BbAH	BbAHh	BbMxAHH	BbAvAHH	BbMxAHA	BbAvAHA	PSCH	PSCD	PSCA
29	E0	5/3/16	Southampton	Sunderland	1	-1	D	0	0	D	N Swarbrick	16	11	5	3	9	9	12	2	2	1	1	0	1.6	4	6.5	1.5	3.9	6.75	1.6	3.7	5.4	1.57	3.8	6	1.63	4.04	6.29	1.62	3.6	6	1.6	4.1	6.5	47	1.65	1.59	4.1	3.88	6.75	6.19	39	2.05	1.97	1.89	1.83	32	-1	2.12	2.05	1.86	1.82	1.62	4.2	6.07
30	E0	20/03/16	Newcastle	Sunderland	1	-1	D	0	1	A	M Atkinson	17	14	8	4	14	7	2	5	4	1	0	0	2.1	3.5	3.8	2.1	3.2	3.5	2.1	3.3	3.3	2.05	3.3	3.6	2.13	3.43	3.85	2.2	3.1	3.5	2.1	3.5	3.8	47	2.2	2.11	3.53	3.34	3.85	3.61	39	2.12	2.01	1.85	1.79	30	-0.25	1.93	1.81	2.14	2.06	2.24	3.22	3.79
31	E0	2/4/16	Sunderland	West Brom	0	0	D	0	0	D	R East	22	3	7	0	11	13	9	3	1	1	0	0	2.1	3.3	4	2	3.3	3.7	2.1	3.3	3.3	2.15	3.2	3.8	2.11	3.36	4	2.05	3.1	4	2.1	3.25	4.1	46	2.15	2.08	3.4	3.27	4.1	3.81	38	2.49	2.39	1.63	1.57	29	-0.5	2.12	2.07	1.85	1.81	2	3.4	4.39
32	E0	10/4/16	Sunderland	Leicester	0	-2	A	0	0	D	A Taylor	15	17	1	7	9	9	1	7	1	1	0	0	3.4	3.4	2.1	3.3	3.4	2.1	3.3	3.3	2.1	3.4	3.3	2.15	3.51	3.5	2.23	3.5	3.25	2.15	3.6	3.4	2.2	46	3.6	3.41	3.5	3.37	2.25	2.17	38	2.18	2.11	1.82	1.72	29	0.25	2.04	1.99	1.92	1.87	3.3	3.33	2.4
33	E0	16/04/16	Norwich	Sunderland	0	-3	A	0	1	A	A Marriner	19	8	6	3	7	11	14	0	2	2	0	0	2.4	3.3	3.25	2.25	3.25	3.1	2.3	3.2	3	2.4	3.25	3.2	2.33	3.41	3.35	2.4	3.1	3.1	2.38	3.3	3.3	48	2.4	2.34	3.41	3.27	3.4	3.18	39	2.25	2.13	1.76	1.7	31	-0.25	2.04	1.99	1.92	1.87	2.35	3.36	3.36
35	E0	24/04/16	Sunderland	Arsenal	0	0	D	0	0	D	M Dean	12	20	3	7	10	8	7	7	2	4	0	0	4.5	4	1.8	4.5	3.8	1.72	4.3	3.65	1.75	4.5	3.8	1.8	4.89	4.02	1.76	4.5	3.5	1.8	5	4	1.75	46	5	4.64	4.02	3.8	1.81	1.76	38	1.8	1.73	2.2	2.09	29	0.75	1.95	1.9	2	1.95	5.48	4.32	1.65
35	E0	30/04/16	Stoke	Sunderland	1	-1	D	0	0	D	C Pawson	11	14	3	5	13	13	2	8	2	2	0	0	2.75	3.3	2.8	2.65	3.2	2.75	2.6	3.2	2.6	2.62	3.1	2.7	2.75	3.3	2.83	2.62	3.1	2.8	2.75	3.3	2.8	46	2.75	2.68	3.35	3.2	2.83	2.74	37	2.15	2.07	1.8	1.75	27	-0.25	2.34	2.27	1.7	1.66	2.95	3.51	2.52
36	E0	7/5/16	Sunderland	Chelsea	3	-2	H	1	2	A	M Jones	15	9	4	8	11	9	3	3	4	1	0	1	3	3.5	2.45	2.95	3.3	2.35	2.6	3.2	2.6	3	3.5	2.45	3.02	3.55	2.45	3	3.2	2.38	3	3.5	2.45	47	3.02	2.89	3.6	3.44	2.6	2.43	39	1.86	1.79	2.08	2.01	29	0.25	1.84	1.79	2.15	2.08	3.29	3.63	2.27
37	E0	11/5/16	Sunderland	Everton	3	0	H	2	0	H	A Taylor	14	17	8	6	15	7	5	5	1	0	0	0	1.75	4	5	1.72	3.5	5	1.55	4	5.4	1.7	3.8	4.75	1.75	4	5.05	1.73	3.5	5	1.75	4	4.8	48	1.8	1.73	4.01	3.83	5.4	4.82	38	1.76	1.71	2.25	2.11	29	-0.75	2	1.94	1.96	1.92	1.86	3.98	4.31
38	E0	15/05/16	Watford	Sunderland	2	-2	D	0	1	A	K Friend	21	6	6	4	11	10	7	4	1	0	0	0	2.05	3.75	3.7	2.05	3.3	3.6	2.2	3.3	3.1	2.05	3.75	3.6	2.03	3.8	3.78	1.95	3.75	3.6	2.05	3.75	3.7	50	2.2	2.02	3.8	3.62	3.78	3.58	40	1.77	1.71	2.21	2.1	29	-0.5	2.06	2.01	1.91	1.85	1.64	4.52	5.27
